Version,Language,Files,Lines,Code,Comments,Blanks,,,Comment Ratio,Comments
,,,,,,,,,,
2.6,iOS WhirlyGlobeLib,,,,,,,,,ios/library/WhirlyGlobeLib/
,C Header ,130,15009,6313,5959,2737,,,,
,Objective C,1,109,69,20,20,,,,
,Objective C++,124,45324,33457,5561,6306,,,,
,Total,255,60442,39839,11540,9063,,,,
,,,,,,,,,,
,iOS Component,,,,,,,,,ios/library/WhirlyGlobe-MaplyComponent/
, C Header,229,31219,6688,16569,7962,,,71.24%,Good!
, C++ ,1,1525,1231,104,190,,,,
, Objective C  ,22,4057,2667,619,771,,,,
, Objective C++                                                                                                          ,90,34990,26107,3564,5319,,,,
,Total,344,71856,36730,20870,14256,,,36.23%,
,,,,,,,,,,
,Android Component,,,,,,,,,android/library/maply/
,C Header ,108,7981,2955,4082,944,,,,
,C++,87,19718,15266,2109,2343,,,,
,Java,175,29510,16490,9048,3972,,,35.43%,Matches the ratio above with code included
,Total,370,57209,34711,15239,7259,,,,
,,,,,,,,,,
,Total,,,111280,,,,,,
,,,,,,,,,,
Feb 12 - 3.0,common WhirlyGlobeLib,,,,,,,,,
, C Header,73,10733,5001,3720,2012,,,,common/WhirlyGlobeLib/
, C++ ,66,26804,20182,2877,3745,,,,
,Total,139,37537,25183,6597,5757,,,,
,,,,,,,,,,
,iOS WhirlyGlobeLib,,,,,,,,,ios/library/WhirlyGlobeLib/
,C Header ,28,2009,690,979,340,,,,
,C++,1,164,57,85,22,,,,
,Objective C,1,109,69,20,20,,,,
,Objective C++,26,5306,3566,902,838,,,,
,Total,56,7588,4382,1986,1220,,,,
,,,,,,,,,,
,iOS Component,,,,,,,,,ios/library/WhirlyGlobe-MaplyComponent/
,C Header ,141,15537,4118,7786,3633,,,,
,C++,1,1525,1231,104,190,,,,
,Objective C,20,3773,2478,570,725,,,,
,Objective C++,87,29417,21774,3117,4526,,,,
,Total,251,50317,29638,11591,9088,,,,
,,,,,,,,,,
,Total,,,59203,,,,,,
,Core Ratio,,,42.54%,,,,,,
,,,,,,,,,,
Feb 19 - 3.0,common WhirlyGlobeLib,,,,,,,,,
,Total,,,28054,,,,,,common/WhirlyGlobeLib/
,,,,,,,,,,
,iOS WhirlyGlobeLib,,,,,,,,,ios/library/WhirlyGlobeLib/
,Total,,,3730,,,,,,
,,,,,,,,,,
,iOS Component,,,,,,,,,ios/library/WhirlyGlobe-MaplyComponent/
,Total,,,27381,,,,,,
,,,,,,,,,,
,Total,,,59165,,,,,,
,Core Ratio,,,47.42%,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Feb 22 - 3.0,common WhirlyGlobeLib,,,,,,,,,
,Total,,,29367,,,,,,common/WhirlyGlobeLib/
,,,,,,,,,,
,iOS WhirlyGlobeLib,,,,,,,,,ios/library/WhirlyGlobeLib/
,Total,,,3732,,,,,,
,,,,,,,,,,
,iOS Component,,,,,,,,,ios/library/WhirlyGlobe-MaplyComponent/
,Total,,,26645,,,,,,
,,,,,,,,,,
,Total,,,59744,,,,,,
,Core Ratio,,,49.15%,,,,,,Get this higher!
,,,,,,,,,,
,,,,,,,,,,
Jun 22 2021 - 3.3-pre,common WhirlyGlobeLib,,,,,,,,,
,files,language,blank,comment,code,scale,3g equiv,,,
,121,C++,6066,4830,32848,1.51,49600.48,,14.7%,
,128,C/C++ Header,3489,5997,8845,1,8845,,67.8%,
,1,C,13,6,11,0.77,8.47,,54.55%,
,250,SUM,9568,10833,41704,,58453.95,,,
,,,,,,,,,,
,iOS library,,,,,,,,,
,files,language,blank,comment,code,scale,3g equiv,,,
,124,Objective-C++,5812,4317,27364,2.96,80997.44,,15.78%,
,198,C/C++ Header,5032,11245,5569,1,5569,,201.92%,
,21,Objective-C,761,612,2681,2.96,7935.76,,22.83%,
,1,Swift,85,103,490,2.5,1225,,21.02%,
,344,SUM,11690,16277,36104,,95727.2,,,
,,,,,,,,,,
,Android library,,,,,,,,,
,files,language,blank,comment,code,scale,3g equiv,,,
,120,C++,2669,2525,20087,1.51,30331.37,,12.57%,
,203,Java,4576,11250,17992,1.36,24469.12,,62.53%,
,141,C/C++ Header,1469,6004,4302,1,4302,,139.56%,
,12,Kotlin,392,495,2113,2,4226,,23.43%,
,1,C,3,0,31,0.77,23.87,,,
,477,SUM,9109,20274,44525,,63352.36,,,
,,,,,,,,,,
,,,,Code,Eqiv,,,,,
,Total,,,122333,217533.51,,,,,
,Core Ratio,,,0.340905561,0.268712393,,,,,
,iOS Ratio,,,0.29512887,0.440057258,,,,,
,Android Ratio,,,0.363965569,0.291230349,,,,,
